SampleID,Sample_Name,seqrun,psyllid_spp,psyllid_genus,psyllid_family,hostplant_spp,Collection_Date,replicated,lat,long
SI9_S187,SI9,2,Ctenarytaina_sp_B,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,6/11/14,FALSE,-46.900277777777774,168.12083333333334
14_S13,14,2,Ctenarytaina_sp_A,Ctenarytaina,Aphalaridae,Olearia_paniculata,21/9/14,FALSE,-41.30555555555555,173.28416666666666
28_S27,28,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,14/9/14,FALSE,-43.653888888888886,172.81222222222223
52_S49,52,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,27/11/14,FALSE,-43.63972222222222,172.4752777777778
79_S69,79,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,23/2/15,FALSE,-44.40888888888889,171.25305555555556
101_S83,101,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,28/2/15,FALSE,-45.79833333333333,167.54666666666665
108_S89,108,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,2/3/15,FALSE,-45.41583333333333,167.71055555555554
109_S90,109,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,2/3/15,FALSE,-45.636944444444445,168.17499999999998
136_S114,136,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,26/3/15,FALSE,-36.781666666666666,175.00916666666666
143_S117,143,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,28/3/15,FALSE,-37.79944444444444,175.27194444444447
8b_S5,8B,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,18/9/14,FALSE,-42.964444444444446,172.96777777777777
SI8_S186,SI8,2,Ctenarytaina_spatulata,Ctenarytaina,Aphalaridae,Eucalyptus_sp,6/11/14,FALSE,-46.900277777777774,168.12083333333334
81_S71,81,2,Ctenarytaina_thysanura,Ctenarytaina,Aphalaridae,Eucalyptus_sp,23/2/15,FALSE,-44.40888888888889,171.25305555555556
SA5A_S175,SA5A,2,Eucalyptolyma_maideni,Eucalyptolyma,Aphalaridae,Eucalyptus_sp,4/11/14,FALSE,-34.95916666666667,138.67916666666665
135a_S113,135A,2,Glycaspis_granulata,Glycaspis,Triozidae,Eucalyptus_sp,26/3/15,FALSE,-36.781666666666666,175.00916666666666
mockA_S51,mockA,2,MOCK,MOCK,NA,NA,NA,FALSE,NA,NA
122_S102,122,2,Mycopsylla_fici,Mycopsylla,Calophyidae,Ficus_macrophylla,22/3/15,FALSE,-36.85027777777778,174.76777777777778
